_id,ltable_Id,rtable_Id,ltable_Artist,ltable_TrackName,ltable_Released,ltable_Time,rtable_Artist,rtable_TrackName,rtable_Released,rtable_Time
545,2934,s_1531, Kanye West, We Don't Care,31-Aug-04, 2:55,Die Antwoord,I Don't Care,16-Sep-16,4:44
546,2962,s_2115, Kanye West, Low Lights,15-Jun-16, 2:11,Chloe x Halle,Red Lights,29-Apr-16,3:17
547,2963,s_1836, Kanye West, Highlights,15-Jun-16, 3:19,Various artists,Highlight,5-Sep-16,4:11
548,2981,s_1981, Adele, Hello,20-Nov-15, 4:55,Lionel Richie,Hello,31-Jan-12,4:08
549,2981,s_2341, Adele, Hello,20-Nov-15, 4:55,Prince,Hello,14-Jun-11,3:24
550,2981,s_954, Adele, Hello,20-Nov-15, 4:55,Adele,Hello,20-Nov-15,4:55
551,2982,s_955, Adele, Send My Love (To Your New Lover),20-Nov-15, 3:43,Adele,Send My Love (To Your New Lover),20-Nov-15,3:43
552,2983,s_2196, Adele, I Miss You,20-Nov-15, 5:48,Nathan Feuerstein,Miss You,29-Nov-10,4:15
553,2983,s_2514, Adele, I Miss You,20-Nov-15, 5:48,Kem,Miss You,25-Feb-03,4:27
554,2983,s_956, Adele, I Miss You,20-Nov-15, 5:48,Adele,I Miss You,20-Nov-15,5:48
555,2984,s_1359, Adele, When We Were Young,20-Nov-15, 4:50,Gareth Emery,We Were Young,1-Apr-16,4:03
556,2984,s_957, Adele, When We Were Young,20-Nov-15, 4:50,Adele,When We Were Young,20-Nov-15,4:50
557,2985,s_958, Adele, Remedy,20-Nov-15, 4:05,Adele,Remedy,20-Nov-15,4:05
558,2986,s_569, Adele, Water Under the Bridge,20-Nov-15, 4:00,Red Hot Chili Peppers,Under The Bridge,17-Nov-03,4:25
559,2986,s_959, Adele, Water Under the Bridge,20-Nov-15, 4:00,Adele,Water Under the Bridge,20-Nov-15,4:00
560,2987,s_960, Adele, River Lea,20-Nov-15, 3:45,Adele,River Lea,20-Nov-15,3:45
561,2988,s_961, Adele, Love in the Dark,20-Nov-15, 4:45,Adele,Love in the Dark,20-Nov-15,4:45
562,2989,s_962, Adele, Million Years Ago,20-Nov-15, 3:47,Adele,Million Years Ago,20-Nov-15,3:47
563,2990,s_963, Adele, All I Ask,20-Nov-15, 4:31,Adele,All I Ask,20-Nov-15,4:31
564,2991,s_964, Adele, Sweetest Devotion,20-Nov-15, 4:11,Adele,Sweetest Devotion,20-Nov-15,4:11
565,2992,s_137, Adele, Rolling in the Deep,24-Jan-11, 3:48,The Piano Guys,Rolling in the Deep,2-Oct-12,3:51
566,2992,s_711, Adele, Rolling in the Deep,24-Jan-11, 3:48,Adele,Rolling in the Deep,22-Feb-11,3:48
567,2993,s_712, Adele, Rumour Has It,24-Jan-11, 3:43,Adele,Rumour Has It,22-Feb-11,3:41
568,2994,s_713, Adele, Turning Tables,24-Jan-11, 4:10,Adele,Turning Tables,22-Feb-11,4:10
569,2995,s_201, Adele, Don't You Remember,24-Jan-11, 4:03,Jack Johnson,Do You Remember,1-Mar-05,2:24
570,2995,s_714, Adele, Don't You Remember,24-Jan-11, 4:03,Adele,Don't You Remember,22-Feb-11,4:03
571,2996,s_715, Adele, Set Fire to the Rain,24-Jan-11, 4:01,Adele,Set Fire to the Rain,22-Feb-11,4:01
572,2997,s_716, Adele, He Won't Go,24-Jan-11, 4:37,Adele,He Won't Go,22-Feb-11,4:37
573,2998,s_2281, Adele, Take It All,24-Jan-11, 3:48,Brian Culbertson,Take It Up,30-Sep-16,4:14
574,2998,s_717, Adele, Take It All,24-Jan-11, 3:48,Adele,Take It All,22-Feb-11,3:48
575,2999,s_718, Adele, I'll Be Waiting,24-Jan-11, 4:01,Adele,I'll Be Waiting,22-Feb-11,4:01
576,3000,s_719, Adele, One and Only,24-Jan-11, 5:48,Adele,One And Only,22-Feb-11,5:46
577,3005,s_1709, Adele,Crazy for You,28-Jan-08, 3:28,Madonna,Crazy For You,12-Feb-13,3:45
578,3007,s_412, Adele,First Love,28-Jan-08, 3:10,Carly Rae Jepsen,First Time,26-Aug-16,3:35
579,3011,s_1387, Adele,Tired,28-Jan-08, 4:18,Armin van Buuren,Wired,19-Aug-16,3:18
580,3012,s_1739, Adele,Hometown Glory,28-Jan-08, 4:31,Zhu,Hometown Girl,29-Jul-16,4:12
581,3018,s_2444, Adele,Hometown Glory (Live),3-Feb-09, 3:57,Tedeschi Trucks Band,Bound For Glory (Live),22-May-12,12:53
582,3024,s_712, Adele,Rumour Has It (Live),12-Jul-11, 3:48,Adele,Rumour Has It,22-Feb-11,3:41
583,3027,s_137, Adele,Rolling in the Deep (Live),12-Jul-11, 5:21,The Piano Guys,Rolling in the Deep,2-Oct-12,3:51
584,3027,s_711, Adele,Rolling in the Deep (Live),12-Jul-11, 5:21,Adele,Rolling in the Deep,22-Feb-11,3:48
585,3028,s_109,Justin Bieber,Mark My Words,13-Nov-15, 2:14,Justin Bieber,Mark My Words,13-Nov-15,2:14
586,3029,s_110,Justin Bieber,I'll Show You,13-Nov-15, 3:19,Justin Bieber,I'll Show You,13-Nov-15,3:19
587,3029,s_122,Justin Bieber,I'll Show You,13-Nov-15, 3:19,Justin Bieber,Been You,13-Nov-15,3:19
588,3030,s_111,Justin Bieber,What Do You Mean?,13-Nov-15, 3:25,Justin Bieber,What Do You Mean?,13-Nov-15,3:25
589,3031,s_112,Justin Bieber,Sorry,13-Nov-15, 3:20,Justin Bieber,Sorry,13-Nov-15,3:20
590,3032,s_113,Justin Bieber,Love Yourself,13-Nov-15, 3:53,Justin Bieber,Love Yourself,13-Nov-15,3:53
591,3032,s_1716,Justin Bieber,Love Yourself,13-Nov-15, 3:53,Madonna,Express Yourself,12-Feb-13,4:04
592,3032,s_633,Justin Bieber,Love Yourself,13-Nov-15, 3:53,Michael Jackson,Enjoy Yourself,5-Jul-05,3:21
593,3033,s_114,Justin Bieber,Company,13-Nov-15, 3:28,Justin Bieber,Company,13-Nov-15,3:28
594,3033,s_1224,Justin Bieber,Company,13-Nov-15, 3:28,Jamestown Revival,Company Man,7-Oct-16,3:04
595,3034,s_115,Justin Bieber,No Pressure (feat. Big Sean),13-Nov-15, 4:46,Justin Bieber,No Pressure [feat. Big Sean],13-Nov-15,4:46
596,3035,s_116,Justin Bieber,No Sense,13-Nov-15, 4:35,Justin Bieber,No Sense [feat. Travis Scott],13-Nov-15,4:35
597,3036,s_117,Justin Bieber,The Feeling,13-Nov-15, 4:04,Justin Bieber,The Feeling [feat. Halsey],13-Nov-15,4:04
598,3036,s_466,Justin Bieber,The Feeling,13-Nov-15, 4:04,Tom Petty,The Waiting,9-Mar-10,3:59
599,3036,s_709,Justin Bieber,The Feeling,13-Nov-15, 4:04,Daya,Got the Feeling,7-Oct-16,3:37
600,3037,s_118,Justin Bieber,Life Is Worth Living,13-Nov-15, 3:54,Justin Bieber,Life Is Worth Living,13-Nov-15,3:54
601,3038,s_119,Justin Bieber,Where are you now,13-Nov-15, 4:02,Justin Bieber,Where Are ?Now,13-Nov-15,4:02
602,3039,s_120,Justin Bieber,Children,13-Nov-15, 3:43,Justin Bieber,Children,13-Nov-15,3:43
603,3040,s_121,Justin Bieber,Purpose,13-Nov-15, 3:30,Justin Bieber,Purpose,13-Nov-15,3:30
604,3040,s_291,Justin Bieber,Purpose,13-Nov-15, 3:30,Sabrina Carpenter,On Purpose,14-Oct-16,3:58
605,3041,s_110,Justin Bieber,Been you,13-Nov-15, 3:19,Justin Bieber,I'll Show You,13-Nov-15,3:19
606,3041,s_122,Justin Bieber,Been you,13-Nov-15, 3:19,Justin Bieber,Been You,13-Nov-15,3:19
